carehomesbeds,year_location_end,forced_closure,ownership,individual_partnership,company,age,dementia,nurse,mental_health,detained,disabled,closed_complete,inadequate,requiresimprovement,good,outstanding,missing_quality
8,2011,0,For-Profit,1,0,2.3,1,0,1,0,0,0,,,,,1
60,2011,0,For-Profit,0,1,11.566667,1,0,0,0,1,0,,,,,1
10,2011,0,For-Profit,0,1,9.4333334,0,0,0,0,1,0,,,,,1
28,2011,0,Third sector,0,0,9.833333,0,1,0,0,1,1,,,,,1
2,2011,0,For-Profit,1,0,5.5333333,0,0,0,0,0,1,,,,,1
36,2011,0,For-Profit,0,1,9.8666668,0,0,0,0,0,0,,,,,1
20,2011,0,For-Profit,1,0,10.6,1,0,0,0,0,1,,,,,1
60,2011,0,For-Profit,0,1,.96666664,0,1,0,0,0,0,,,,,1
34,2011,0,For-Profit,1,0,7.9333334,0,1,0,0,1,0,,,,,1
40,2011,0,For-Profit,0,1,8.3999996,1,0,0,0,1,0,,,,,1
46,2011,0,For-Profit,0,1,10.166667,0,1,0,0,0,0,,,,,1
36,2011,0,For-Profit,0,1,11.366667,0,0,0,0,0,0,,,,,1
86,2011,0,For-Profit,0,1,11.4,1,1,0,0,1,0,,,,,1
1,2011,0,For-Profit,0,1,10.5,0,0,0,0,0,1,,,,,1
29,2011,0,For-Profit,0,1,3.2,0,0,0,0,0,0,,,,,1
3,2011,0,For-Profit,1,0,5.3666668,0,0,0,0,0,1,,,,,1
36,2011,0,For-Profit,0,1,7.2666669,0,1,0,0,0,1,,,,,1
64,2011,0,For-Profit,0,1,10.733334,1,1,0,0,0,0,,,,,1
22,2011,0,For-Profit,1,0,9.166667,0,0,0,0,0,0,,,,,1
34,2011,0,For-Profit,0,1,11.466666,1,0,0,0,0,0,,,,,1
5,2011,0,Third sector,0,0,10.633333,0,0,0,0,0,1,,,,,1
24,2011,0,For-Profit,0,1,3.8666666,0,0,0,0,0,0,,,,,1
62,2011,0,For-Profit,0,1,9.9666662,1,1,0,0,0,0,,,,,1
53,2011,0,For-Profit,1,0,2.9333334,1,0,0,0,0,0,,,,,1
43,2011,0,For-Profit,0,1,8.833333,0,0,0,0,0,1,,,,,1
90,2011,0,For-Profit,0,1,9.1000004,1,0,0,0,0,0,,,,,1
48,2011,0,For-Profit,0,1,10.3,0,1,0,0,0,0,,,,,1
46,2011,0,For-Profit,0,1,10.566667,0,1,0,0,1,0,,,,,1
15,2011,0,For-Profit,0,1,12.333333,0,1,0,0,1,0,,,,,1
0,2011,0,For-Profit,1,0,5.1333332,0,0,0,0,0,1,,,,,1
12,2011,0,For-Profit,1,0,8.6333332,0,0,1,0,0,0,,,,,1
12,2011,0,For-Profit,0,1,5.1333332,0,0,0,0,0,1,,,,,1
60,2011,0,For-Profit,0,1,10.033334,1,1,1,0,1,0,,,,,1
4,2011,0,For-Profit,0,1,3.9666667,0,0,0,0,0,1,,,,,1
8,2011,0,Third sector,0,0,13,0,0,1,0,0,1,,,,,1
6,2011,0,Third sector,0,0,9.1000004,0,0,0,0,0,1,,,,,1
40,2011,0,For-Profit,0,1,.96666664,1,0,0,0,0,0,,,,,1
76,2011,0,For-Profit,0,1,10.566667,1,0,0,0,0,1,,,,,1
5,2011,0,Third sector,0,0,9.1000004,0,0,0,0,0,1,,,,,1
106,2011,0,For-Profit,0,1,9.8666668,1,1,0,0,1,0,,,,,1
40,2011,0,For-Profit,0,1,12.166667,0,1,0,0,0,0,,,,,1
24,2011,0,For-Profit,0,1,.96666664,0,0,0,0,0,0,,,,,1
53,2011,0,For-Profit,0,1,9.0666666,1,1,0,0,0,0,,,,,1
8,2011,0,For-Profit,0,1,11.533334,0,0,0,0,0,0,,,,,1
62,2011,0,For-Profit,0,1,11.2,1,1,0,0,0,0,,,,,1
48,2011,0,For-Profit,0,1,11.066667,1,0,1,0,0,0,,,,,1
40,2011,0,For-Profit,0,1,10.566667,0,1,0,0,0,0,,,,,1
5,2011,0,Third sector,0,0,0,0,0,0,0,0,1,,,,,1
150,2011,0,For-Profit,0,1,11.2,1,1,0,0,0,0,,,,,1
56,2011,0,For-Profit,0,1,10.266666,1,0,0,0,0,0,,,,,1
19,2011,0,For-Profit,1,0,10.3,1,0,0,0,1,0,,,,,1
9,2011,0,For-Profit,0,1,12.666667,0,0,0,0,0,0,,,,,1
41,2011,0,For-Profit,0,1,10.366667,1,0,0,0,0,0,,,,,1
29,2011,0,For-Profit,0,1,9.8666668,0,0,0,0,0,0,,,,,1
6,2011,0,For-Profit,0,1,9.5,0,0,0,0,0,0,,,,,1
5,2011,0,For-Profit,1,0,4.9333334,0,0,0,0,0,1,,,,,1
3,2011,0,For-Profit,0,1,11.833333,0,0,0,0,0,0,,,,,1
2,2011,0,For-Profit,1,0,1.6333333,0,0,0,0,0,0,,,,,1
5,2011,0,For-Profit,0,1,6.5333333,0,0,0,0,0,1,,,,,1
46,2011,0,For-Profit,0,1,11.2,1,1,1,0,0,0,,,,,1
32,2011,0,For-Profit,0,1,11.066667,0,0,0,0,0,0,,,,,1
27,2011,0,For-Profit,1,0,10.966666,0,0,0,0,0,0,,,,,1
8,2011,0,Third sector,0,0,10.966666,0,0,0,0,0,1,,,,,1
66,2011,0,For-Profit,0,1,8.7333336,1,1,0,0,0,0,,,,,1
33,2011,0,For-Profit,1,0,8.0666666,0,0,0,0,0,0,,,,,1
80,2011,0,For-Profit,0,1,11.2,1,1,0,0,0,0,,,,,1
31,2011,0,Local Authority,0,0,2.9333334,0,0,0,0,0,1,,,,,1
30,2011,0,Local Authority,0,0,4.1666665,0,0,0,0,0,1,,,,,1
26,2011,0,For-Profit,1,0,3.4333334,0,0,0,0,0,1,,,,,1
5,2011,0,Third sector,0,0,9,0,0,0,0,0,1,,,,,1
59,2011,0,For-Profit,0,1,10.166667,1,0,1,0,0,0,,,,,1
20,2011,0,Local Authority,0,0,5.4000001,0,0,0,0,0,1,,,,,1
19,2011,0,For-Profit,0,1,2.3333333,0,0,0,0,0,1,,,,,1
40,2011,0,For-Profit,0,1,10.033334,1,1,1,0,0,0,,,,,1
36,2011,0,For-Profit,0,1,11.066667,1,1,0,0,0,0,,,,,1
94,2011,0,For-Profit,0,1,9.8666668,1,0,0,0,0,0,,,,,1
81,2011,0,For-Profit,0,1,10.133333,1,1,0,0,0,0,,,,,1
2,2011,0,Third sector,0,0,8.7333336,0,0,0,0,0,1,,,,,1
32,2011,0,For-Profit,0,1,11.2,0,0,0,0,0,0,,,,,1
5,2011,0,For-Profit,0,1,.23333333,0,0,1,0,1,0,,,,,1
20,2011,0,For-Profit,0,1,7.1999998,0,1,0,0,1,1,,,,,1
45,2011,0,For-Profit,0,1,10.566667,0,0,0,0,0,0,,,,,1
0,2011,0,Local Authority,0,0,11.733334,0,0,0,0,0,0,,,,,1
30,2011,0,Local Authority,0,0,4.6333332,1,0,0,0,0,1,,,,,1
45,2011,0,For-Profit,0,1,10.033334,0,1,0,0,0,0,,,,,1
2,2011,0,Third sector,0,0,8.0666666,0,0,0,0,0,1,,,,,1
0,2011,0,For-Profit,1,0,5.4666667,0,0,0,0,0,1,,,,,1
7,2011,0,For-Profit,0,1,7.3666668,1,0,0,0,0,1,,,,,1
38,2011,0,For-Profit,0,1,11.2,1,1,0,0,0,0,,,,,1
4,2011,0,For-Profit,1,0,9.4666662,0,0,1,0,0,0,,,,,1
12,2011,0,For-Profit,1,0,9.3999996,0,0,0,0,0,0,,,,,1
40,2011,0,For-Profit,0,1,10.566667,1,0,1,0,0,0,,,,,1
6,2011,0,For-Profit,0,1,4.8000002,0,0,0,0,0,1,,,,,1
74,2011,0,For-Profit,0,1,9.1000004,0,1,0,0,0,0,,,,,1
5,2011,0,For-Profit,0,1,6.9666667,0,0,0,0,1,1,,,,,1
2,2011,0,For-Profit,0,1,4.8333335,0,0,0,0,0,1,,,,,1
6,2011,0,For-Profit,0,1,4.3333335,0,0,0,0,0,1,,,,,1
7,2011,0,For-Profit,1,0,2.5999999,1,0,0,0,1,0,,,,,1
40,2011,0,For-Profit,0,1,11.066667,0,1,0,0,1,0,,,,,1
21,2011,0,For-Profit,1,0,7.2666669,1,0,0,0,0,1,,,,,1
60,2011,0,For-Profit,0,1,9.8666668,1,0,0,0,0,0,,,,,1
6,2011,0,For-Profit,0,1,4.3333335,0,0,0,0,1,1,,,,,1
29,2011,0,Third sector,0,0,3.6666667,0,0,0,0,0,1,,,,,1
0,2011,0,For-Profit,1,0,17.233334,1,1,0,0,1,1,,,,,1
29,2011,0,Local Authority,0,0,7.2333331,0,0,0,0,0,1,,,,,1
21,2011,0,For-Profit,0,1,8.1999998,1,0,0,0,0,1,,,,,1
0,2011,0,Third sector,0,0,7.3666668,0,0,0,0,0,1,,,,,1
48,2011,0,For-Profit,0,1,11.2,0,1,0,0,0,0,,,,,1
64,2011,0,For-Profit,0,1,12.366667,1,1,0,0,1,0,,,,,1
30,2011,0,For-Profit,0,1,11.066667,0,1,0,0,0,1,,,,,1
23,2011,0,For-Profit,0,1,8.2666664,0,1,0,0,1,1,,,,,1
60,2011,0,For-Profit,0,1,10.366667,0,1,0,0,0,0,,,,,1
32,2011,0,For-Profit,0,1,12.166667,1,0,0,0,0,0,,,,,1
67,2011,0,For-Profit,0,1,7,1,1,0,0,0,1,,,,,1
21,2011,0,For-Profit,0,1,2.2333333,1,0,0,0,1,1,,,,,1
